Date,ClosePrice,Volume,DayOfWeek
05/17/2018,284.540009,4420600,5
05/18/2018,276.820007,7251900,6
05/21/2018,284.48999,9182600,2
05/22/2018,275.01001,8945800,3
05/23/2018,279.070007,5953100,4
05/24/2018,277.850006,4193000,5
05/25/2018,278.850006,3875100,6
05/29/2018,283.76001,5651100,3
05/30/2018,291.720001,7489700,4
05/31/2018,284.730011,5919700,5
06/01/2018,291.820007,5411400,6
06/04/2018,296.73999,4767300,2
06/05/2018,291.130005,5995200,3
06/06/2018,319.5,18767300,4
06/07/2018,316.089996,14345300,5
06/08/2018,317.660004,8205200,6
06/11/2018,332.100006,13183500,2
06/12/2018,342.769989,22347400,3
06/13/2018,344.779999,9469800,4
06/14/2018,357.720001,10981000,5
06/15/2018,358.170013,10848300,6
06/18/2018,370.829987,12073200,2
06/19/2018,352.549988,12761900,3
06/20/2018,362.220001,8383700,4
06/21/2018,347.51001,7967100,5
06/22/2018,333.630005,10266100,6
06/25/2018,333.01001,6931300,2
06/26/2018,342,7452500,3
06/27/2018,344.5,8333700,4
06/28/2018,349.929993,8398000,5
06/29/2018,342.950012,6492400,6
07/02/2018,335.070007,18759800,2
07/03/2018,310.859985,12282600,3
07/05/2018,309.160004,17476400,5
07/06/2018,308.899994,8865500,6
07/09/2018,318.51001,7596800,2
07/10/2018,322.470001,9471500,3
07/11/2018,318.959991,4884100,4
07/12/2018,316.709991,5721200,5
07/13/2018,318.869995,5869800,6
07/16/2018,310.100006,7818700,2
07/17/2018,322.690002,6996200,3
07/18/2018,323.850006,5624200,4
07/19/2018,320.230011,5915300,5
07/20/2018,313.579987,5162200,6
07/23/2018,303.200012,10992900,2
07/24/2018,297.429993,9590800,3
07/25/2018,308.73999,7075400,4
07/26/2018,306.649994,4630500,5
07/27/2018,297.179993,5703300,6
07/30/2018,290.170013,6814100,2
07/31/2018,298.140015,5076900,3
08/01/2018,300.839996,10129400,4
08/02/2018,349.540009,23215000,5
08/03/2018,348.170013,13656500,6
08/06/2018,341.98999,8564300,2
08/07/2018,379.570007,30875800,3
08/08/2018,370.339996,24571200,4
08/09/2018,352.450012,17103700,5
08/10/2018,355.48999,11552000,6
08/13/2018,356.410004,10450200,2
08/14/2018,347.640015,6986400,3
08/15/2018,338.690002,9101300,4
08/16/2018,335.450012,6064000,5
08/17/2018,305.5,18958600,6
08/20/2018,308.440002,17402300,2
08/21/2018,321.899994,13172200,3
08/22/2018,321.640015,5946000,4
08/23/2018,320.100006,5147300,5
08/24/2018,322.820007,3602600,6
08/27/2018,319.269989,13079300,2
08/28/2018,311.859985,7649100,3
08/29/2018,305.01001,7447400,4
08/30/2018,303.149994,7216700,5
08/31/2018,301.660004,5375100,6
