Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
3390,7000,8330,12.5,377.7,6100,4950,1,R,570,2,12,12,2,0,8,Corporation,20,3,0,2,73,Business Services,12794,6393,6401,98100,46486,32.1,5,114,410,7937,4620,84,4704,NY,OTHER,S1
2629,5400,6696,12.5,799.2,3629.6,3307.33333,6,O,461,4,36,10,13,9,17,Corporation,14,1,5,0,70,Hotels Rooming and Other Lodging Places,2132,1022,1110,55100,28880,41.9,5,58,523,11637,891,70,961,PA,B,S1
3978,19200,22560,12.5,1814.4,14819.48,14820,3,O,588,6,29,22,14,2,5,Sole Proprietorship,3,0,0,0,72,Personal Services,33363,15669,17694,92200,38575,37.2,5,985,17062,476722,12780,1272,14052,NC,C,S2
124709,192000,228480,12.5,26496,151379.2,151379.2,5,O,695,2,47,47,30,0,0,Corporation,2,1,1,0,72,Personal Services,11794,5802,5992,325400,66947,60.5,5,579,7245,235169,10346,302,10648,FL,B,S4
6281,10000,12400,12.5,1628,7882,7882,1,R,491,4,16,4,4,10,2,Corporation,6,3,1,1,72,Personal Services,29341,14200,15141,168500,59715,40.2,5,747,12638,432538,11291,563,11854,CT,B,S2
5536,13742,17040,10,2643.94,11110.2,15690.4,5,O,476,3,14,4,10,3,7,Sole Proprietorship,4,2,4,0,54,Food Stores,27751,13764,13987,87900,36057,33.5,5,396,5168,154320,9545,575,10120,DE,B,S2
6419,17000,20230,12.5,469.2,15914,16000.5,4,R,414,12,26,6,8,15,5,Sole Proprietorship,2,3,10,0,75,Auto Repair Services and Parking,23900,11998,11902,129800,48157,38.8,5,1332,13405,362967,11675,1197,12872,FL,A,S2
50656,80800,96152,10,11150.4,79573.04,79572.6667,3,O,524,13,26,19,11,2,5,Corporation,5,0,0,0,58,Eating and Drinking Places,17489,8430,9059,125000,45921,38.8,5,375,4402,129638,7593,565,8158,MA,B,S4
4031,10800,12690,12.5,291.6,14404.1,10521,2,R,511,3,31,15,15,1,15,Sole Proprietorship,3,0,0,0,72,Personal Services,24439,11864,12575,107900,34789,35,5,1291,25018,778684,10061,1664,11725,VA,A,S2
48127,106000,131500,12.5,19711.34,81740,117931,4,R,511,5,19,6,9,8,5,Corporation,1,1,0,0,54,Food Stores,40466,20222,20244,92300,28610,36.9,5,1529,16745,464931,17509,1875,19384,FL,H,S4
15320,25600,31744,12.5,3788.8,16831.28,16831.3333,6,O,597,81,13,9,9,0,4,Corporation,30,5,8,5,59,Miscellaneous Retail Stores,18482,8706,9776,107900,33498,39.6,5,593,8150,209248,7316,685,8001,MA,B,S3
10039,22800,27930,12.5,2588.6,18942.98,18943,4,O,612,32,53,48,21,0,5,Corporation,6,2,0,0,55,Automotive Dealers and Service Stations,18911,9323,9588,108800,42041,37.2,5,722,8837,225812,7490,625,8115,MI,OTHER,S3
10500,21000,24675,12.5,1984.5,16174.52,17864.5,4,O,583,3,29,22,14,2,5,Sole Proprietorship,3,2,1,0,72,Personal Services,27268,12804,14464,111800,41888,35.9,5,1796,44287,1575418,12905,1749,14654,NC,C,S2
11566,21600,25488,10,1762.56,26201.86,32136.8571,7,O,642,3,19,17,15,0,2,Limited Liability Company,4,0,0,0,51,Wholesale Trade-Nondurable Goods,35389,17540,17849,83600,30926,29.9,5,1018,12413,339231,9537,994,10531,FL,OTHER,S3
36039,56200,66035,12.5,5310.9,67729.94,67729.6667,6,O,694,4,37,35,19,0,2,Limited Liability Company,3,0,0,0,59,Miscellaneous Retail Stores,50783,24958,25825,109300,40199,34.2,5,1432,18044,521723,16844,1020,17864,FL,OTHER,S4
9742,30600,36414,17.5,3378.24,17300,30521,2,R,619,4,12,11,5,0,1,Sole Proprietorship,1,0,1,0,52,Building Materials and Hardware,5835,2844,2991,110500,47649,38.5,6,211,1543,38071,2393,175,2568,IA,B,S3
3487,9600,11280,12.5,777.6,8621.82,8621.69231,13,O,518,13,23,15,18,2,6,Limited Liability Company,3,1,0,0,75,Auto Repair Services and Parking,4663,2274,2389,127700,42220,43.6,5,114,558,13822,2063,89,2152,DE,OTHER,S2
7672,21200,25228,12.5,2340.48,16727.18,27194,4,R,601,4,21,16,12,0,5,Corporation,5,4,1,0,58,Eating and Drinking Places,35665,17249,18416,107200,51888,38.1,5,378,4093,96910,14249,365,14614,NY,B,S3
14447,34739.36,39081.78,12,4342.42,27792.02,27791.5,4,O,519,1,31,19,19,1,11,Limited Liability Company,2,0,1,0,75,Auto Repair Services and Parking,37856,17247,20609,92200,35101,35.3,5,837,17636,585495,17925,898,18823,VA,OTHER,S3
5839,13800,17112,12.5,2042.4,9037.06,9037.33333,6,O,497,21,22,7,8,8,7,Partnership,23,1,3,0,59,Miscellaneous Retail Stores,10018,4712,5306,73700,29371,42.6,5,282,4682,105856,3225,216,3441,VA,B,S2
2244,3800,4650,12.5,605,6393.54,6656,2,R,539,2,52,46,32,1,5,Limited Liability Company,2,0,3,0,59,Miscellaneous Retail Stores,20384,9999,10385,113900,49000,35.5,6,546,9359,252766,8243,548,8791,WI,H,S1
6157,10800,12852,12.5,1192.32,9172,8164,3,R,570,4,27,24,19,2,1,Corporation,3,1,4,0,58,Eating and Drinking Places,14873,8086,6787,438100,30702,34,6,739,18584,730318,10295,754,11049,MN,B,S2
9238,24800,29140,12.5,2343.6,23935.86,27208,9,O,551,8,17,6,10,3,8,Corporation,11,7,0,5,59,Miscellaneous Retail Stores,40880,19378,21502,148600,45960,38,5,1220,19479,794134,15208,1227,16435,NJ,OTHER,S3
2750,5200,6448,12.5,769.6,3769.56,5553.27273,11,O,502,3,15,5,10,3,7,Corporation,3,0,0,0,59,Miscellaneous Retail Stores,20796,9845,10951,109900,43542,41.3,5,881,13625,356455,9188,900,10088,OH,B,S1
23549,98000,120050,12.5,8526,63374.24,63374.3333,6,O,491,10,14,4,6,6,4,Corporation,7,41,0,38,58,Eating and Drinking Places,20956,10308,10648,283700,45344,35.4,5,389,3103,87396,8436,375,8811,NY,A,S4
11266,24000,29760,12.5,2131.2,36120.28,36120,5,R,487,5,14,7,6,2,5,Sole Proprietorship,2,0,1,0,70,Hotels Rooming and Other Lodging Places,15134,6960,8174,69600,28403,34.5,6,320,4911,116864,5389,387,5776,TN,B,S3
51477,66200,78778,12.5,7308.48,52276.58,52280.6177,6,R,676,4,46,25,25,0,0,Corporation,10,0,1,0,56,Apparel and Accessory Stores,37119,18521,18598,186600,72436,32.5,5,847,18646,877030,14848,548,15396,NC,B,S4
3270,7000,8330,12.5,966,5558.48,5558.33333,6,O,584,4,36,20,13,6,10,Corporation,3,0,1,0,58,Eating and Drinking Places,26863,12562,14301,106400,41970,30.7,6,377,15430,661104,7035,428,7463,IL,B,S1
4801,12400,14756,12.5,1796.76,9720.4,9720.4,10,O,495,1,29,9,6,8,12,Limited Liability Company,1,0,0,0,53,General Merchandise Stores,34997,17480,17517,178300,70855,36.7,5,889,9756,276609,11355,423,11778,MD,H,S2
2255,3800,4522,12.5,524.4,3072.26,3072.66667,3,O,531,4,21,15,5,3,3,Corporation,4,0,0,0,54,Food Stores,36979,17679,19300,162400,43850,35.5,5,867,10628,340504,11385,1048,12433,NJ,B,S1
9205,22400,27776,12.5,3315.2,14811.24,6681.92542,6,O,514,4,23,12,13,3,8,Corporation,6,0,5,0,17,Construction-Special Trade Contractors,4976,2403,2573,63700,33293,38.5,5,56,434,9081,1242,71,1313,FL,B,S3
6890,14400,17136,12.5,1987.2,12305.52,12305.52,2,O,507,4,29,20,19,3,6,Corporation,5,0,1,0,58,Eating and Drinking Places,46561,24421,22140,290000,42106,32.5,5,1231,12967,0,25777,1429,27206,DC,B,S2
65748,125000,146875,12.5,10125,108612,178010,1,R,577,6,11,8,3,1,2,Partnership,5,4,7,0,50,Wholesale Trade-Durable Goods,20511,9695,10816,78600,29980,39.4,5,558,6664,172652,7630,641,8271,FL,H,S4
3751,16000,19040,12.5,662.4,11784.72,11870,1,R,562,4,6,5,2,3,6,Limited Liability Company,2,1,1,0,58,Eating and Drinking Places,28628,14180,14448,99000,34909,32.1,6,581,10929,361074,10993,743,11736,WI,B,S2
49200,92000,109000,6.5,11944.8,157424.14,195508.054,5,O,667,6,17,14,15,1,2,Corporation,4,0,2,0,58,Eating and Drinking Places,17072,8075,8997,147700,53848,42.3,5,1147,18841,724652,8142,1174,9316,NC,B,S4
5901,14200,18105,10,2971.34,11638.16,12622.2857,7,O,477,5,7,2,0,3,2,Sole Proprietorship,1,1,0,0,59,Miscellaneous Retail Stores,11594,5819,5775,162700,44542,43.1,5,260,1406,29382,6244,208,6452,NC,B,S2
122665,192000,228480,12.5,21196.8,163404.66,169833.5,4,R,654,19,33,29,17,1,3,Corporation,12,12,4,4,56,Apparel and Accessory Stores,11996,7258,4738,431600,50706,39.5,5,1513,22032,1074826,7619,1246,8865,FL,B,S4
10131,30000,37200,7.5,5772,37826,37826,3,R,656,9,19,15,10,1,3,Sole Proprietorship,9,0,2,0,58,Eating and Drinking Places,40401,19295,21106,88600,38449,29.1,6,1070,22949,681830,16807,1392,18199,TN,B,S3
19890,36600,43554,12.5,4040.64,50009.12,65052,3,R,587,3,25,14,20,0,11,Sole Proprietorship,0,0,0,0,58,Eating and Drinking Places,43167,20830,22337,140400,47162,36.3,5,1096,27647,1310933,15777,1111,16888,CT,B,S3
17576,30600,35955,12.5,1652.4,39561.84,39563.5858,4,R,690,13,42,17,17,0,1,Corporation,14,1,8,0,58,Eating and Drinking Places,18002,8511,9491,113500,35814,61.4,5,491,4292,97907,9551,533,10084,FL,OTHER,S3
3092,8600,10965,12.5,1799.54,5613.96,5614,3,O,459,13,18,3,10,4,11,Sole Proprietorship,8,1,0,1,59,Miscellaneous Retail Stores,2918,1411,1507,108000,29891,41,5,165,1741,39744,1167,159,1326,NJ,B,S2
2650,8000,9400,12.5,756,7214.36,7214,5,O,471,4,37,26,21,3,8,Corporation,3,1,2,0,73,Business Services,24451,12407,12044,140600,65353,32.4,5,523,4580,154970,6975,428,7403,VA,OTHER,S1
3171,11400,14136,12.5,1265.4,7540.16,9729.66667,6,O,587,7,8,4,5,0,4,Sole Proprietorship,3,0,0,0,59,Miscellaneous Retail Stores,7501,3582,3919,120200,47091,31.8,5,596,9951,270185,3254,466,3720,NC,D,S2
13303,40400,47470,12.5,4772.26,36318.6,39244,4,O,679,3,14,13,12,0,1,Sole Proprietorship,10,2,1,0,59,Miscellaneous Retail Stores,26401,13302,13099,65200,33962,40.7,5,715,11382,319910,10512,822,11334,PA,D,S3
3846,8200,10168,12.5,1213.6,5386.9,5387.33333,3,O,528,11,24,16,14,4,4,Corporation,3,0,0,0,53,General Merchandise Stores,11310,5583,5727,59600,35311,31.3,5,302,3216,94202,3518,380,3898,MI,B,S2
8933,20000,23500,12.5,1350,21336,21133,4,R,654,5,20,15,13,0,5,Corporation,6,1,1,0,75,Auto Repair Services and Parking,28069,13649,14420,141400,59015,38.2,5,1702,46908,1982126,10443,1652,12095,MI,E,S2
22596,40000,49900,12.5,7923.5,41188,39823.6,5,R,552,12,22,20,15,1,1,Limited Liability Company,2,1,0,0,56,Apparel and Accessory Stores,9239,4687,4552,142500,57377,34.2,6,230,2921,95926,3525,81,3606,MN,H,S3
6408,19100,23397.5,12.5,1146,18450,18450,7,O,607,3,22,21,6,0,1,Corporation,5,2,1,2,72,Personal Services,27304,14480,12824,93900,28910,27.5,5,610,6128,143220,8582,887,9469,FL,A,S2
4320,29800,37995,12.5,6235.64,19601,19601.0909,11,O,597,8,24,18,15,1,5,Sole Proprietorship,1,8,0,6,58,Eating and Drinking Places,14107,6933,7174,91200,31988,24.9,6,392,6576,147132,5160,388,5548,MO,B,S3
2424,5000,5875,12.5,337.5,4848,6962,1,R,397,5,13,3,0,7,3,Sole Proprietorship,4,1,0,0,72,Personal Services,20556,9947,10609,137600,51726,40.8,5,588,6780,186871,10817,340,11157,NJ,D,S1
12521,26000,30940,12.5,2870.4,20484.1,20486.5631,4,R,532,10,46,42,30,3,10,Corporation,2,0,0,0,79,Amusement and Recreational Services,19866,10007,9859,138500,55373,35.1,6,256,2656,61864,7873,251,8124,WI,B,S3
7605,22600,28024,12.5,3762.9,14532.38,16020.3636,11,O,469,2,15,9,7,4,2,Corporation,2,1,1,0,52,Building Materials and Hardware,74963,32926,42037,95000,33631,37.9,6,626,7564,162652,27154,1381,28535,IL,H,S3
149190,200000,238000,10,16560,353007.44,380025,10,O,678,20,16,8,11,0,8,Limited Liability Company,1,2,4,0,47,Transportation Services,3002,1533,1469,178500,32441,40.9,5,136,827,17337,1022,108,1130,FL,F,S4
5310,19000,22610,12.5,2097.6,18846,15125,4,R,550,27,37,26,20,6,5,Limited Liability Company,22,7,1,7,58,Eating and Drinking Places,27762,13341,14421,141200,60141,41.3,5,880,12435,476067,11400,823,12223,NY,B,S2
13232,24400,29036,12.5,3367.2,22477,22477,4,O,639,13,12,7,8,0,5,Corporation,14,0,0,0,64,Insurance Agents Brokers and Services,98841,50654,48187,211700,34746,29.9,5,1157,9783,413396,20093,1760,21853,NY,B,S3
5855,16000,18800,15,1296,11953.6,14484.3333,6,O,581,7,34,30,16,2,2,Limited Liability Company,5,7,6,1,75,Auto Repair Services and Parking,26505,13159,13346,76000,35988,33.3,5,680,12086,355680,10162,930,11092,MI,OTHER,S2
32829,61400,72145,12.5,6631.2,59223.5,59223.6667,6,O,589,2,37,32,16,0,5,Limited Liability Company,1,1,0,0,54,Food Stores,38874,19326,19548,141400,60609,31.4,5,1851,41276,1364392,18478,1440,19918,GA,OTHER,S4
10703,19600,24304,12.5,2900.8,12876.66,17450,5,O,591,3,33,24,14,2,7,Limited Liability Company,2,5,4,2,7,Agricultural Services,48601,22562,26039,138400,54890,39.8,5,1152,15672,468491,17919,1164,19083,MD,B,S2
12800,78600,97464,12.5,11632.8,51705.48,66214.7868,3,O,607,3,15,3,4,9,3,Limited Liability Company,9,2,1,2,58,Eating and Drinking Places,33909,17545,16364,79100,30176,29.7,5,1617,38781,1424574,14432,1903,16335,MI,B,S4
6682,18800,23500,12.5,3807,13942,16157.5,4,R,613,11,6,6,1,0,0,Corporation,9,1,0,1,58,Eating and Drinking Places,22872,11468,11404,68000,34724,33.2,6,308,3581,76958,9085,512,9597,MS,H,S2
1124,5000,5950,12.5,414,4579.66,4579.66667,6,O,528,5,22,13,10,1,8,Sole Proprietorship,29,13,1,13,72,Personal Services,28561,13774,14787,82300,37597,36.2,5,632,19998,712349,11378,727,12105,OH,OTHER,S1
6241,14000,17850,12.5,2929.5,9323.34,9323.33333,3,O,551,12,30,17,18,4,9,Corporation,11,2,1,0,54,Food Stores,25430,12070,13360,167500,42991,42.4,6,909,9647,297802,12279,826,13105,LA,B,S2
9526,18800,22372,10,2594.4,21726.8,14002.8608,13,O,623,5,16,10,9,1,5,Limited Liability Company,1,0,0,0,75,Auto Repair Services and Parking,42382,22595,19787,40600,24631,25.2,6,660,17262,575039,12637,1201,13838,WI,B,S2
1600,7000,8278,12.5,382.24,7274,8735,2,R,464,4,14,2,6,8,4,Sole Proprietorship,3,4,0,4,58,Eating and Drinking Places,4921,2898,2023,49200,27468,35.1,5,99,996,23381,361,45,406,FL,OTHER,S1
15475,25000,31450,12.5,3335.2,16133.08,16133.5,4,R,673,1,15,12,5,0,3,Limited Liability Company,2,1,0,0,17,Construction-Special Trade Contractors,27762,13341,14421,141200,60141,41.3,5,880,12435,476067,11400,823,12223,NY,H,S3
23402,32800,39032,12.5,4526.4,25917.62,37404.0787,16,O,683,4,40,40,20,0,0,Corporation,7,0,2,0,58,Eating and Drinking Places,29456,13678,15778,206400,39625,34.5,5,623,11348,574534,13748,770,14518,MA,B,S3
16917,130100,154168,12.5,16932.42,101850.42,138029.385,13,O,554,1,43,23,23,12,8,Corporation,1,0,2,0,58,Eating and Drinking Places,26221,12875,13346,94700,39267,40.7,5,796,10486,315422,12748,595,13343,FL,H,S4
2797,5900,7522.5,12.5,1234.58,4087.92,4088,7,O,523,10,34,26,16,5,3,Sole Proprietorship,9,0,1,0,72,Personal Services,13571,6606,6965,203300,67370,43.7,5,737,18696,786449,5229,677,5906,PA,B,S1
22517,48600,60264,12.5,7192.8,31991.76,36898.6667,3,O,596,1,13,2,8,3,8,Corporation,1,1,0,0,56,Apparel and Accessory Stores,41913,20582,21331,147200,53582,36.4,5,1266,15802,510494,14162,1223,15385,NY,B,S4
6055,10400,12896,12.5,1231.36,11978.74,11978.5363,1,R,545,11,39,7,7,7,9,Limited Liability Company,2,0,1,0,55,Automotive Dealers and Service Stations,33068,15945,17123,120300,53710,35.1,6,837,12481,392033,12355,905,13260,MO,B,S2
44253,81200,91756,10,2842,109388.12,89872,1,R,470,21,35,25,17,10,22,Corporation,2,0,1,0,41,Local/Suburban Transit and Highway Passenger,52194,24792,27402,180400,45056,37.3,5,1547,24689,915973,25028,1762,26790,MA,OTHER,S4
4524,18000,21150,12.5,486,29516,31526,1,R,452,8,27,21,14,4,2,Corporation,14,4,4,1,50,Wholesale Trade-Durable Goods,1262,612,650,61300,30625,42.7,5,28,270,5290,441,10,451,WV,A,S2
9475,19200,22848,12.5,2074.64,15184.66,12743.0615,2,O,548,18,31,28,5,1,9,Corporation,13,3,3,1,47,Transportation Services,72077,33559,38518,192600,33735,33.5,5,968,11830,390045,27789,1410,29199,NY,OTHER,S2
10459,30000,37200,12.5,3552,19668,14436,2,R,532,9,35,20,16,4,11,Corporation,8,2,0,0,58,Eating and Drinking Places,44880,21718,23162,104900,44765,40.6,5,972,11377,282141,17835,859,18694,PA,B,S3
6196,9800,11515,12.5,196,25157.34,19458,2,R,560,12,38,37,25,1,7,Limited Liability Company,4,0,0,0,75,Auto Repair Services and Parking,58549,28256,30293,309000,52315,34.7,5,1642,38227,3019803,20462,1813,22275,CT,A,S2
1987,11800,14042,12.5,1302.72,9306,9839.5,4,R,475,10,11,3,1,8,0,Limited Liability Company,8,0,1,0,58,Eating and Drinking Places,34547,16706,17841,98900,26955,22.8,6,1305,24872,710091,10983,1398,12381,MO,B,S2
5332,23600,27966,12.5,2909.88,23083.1,23083,4,O,540,4,42,28,26,7,7,Limited Liability Company,3,1,0,0,75,Auto Repair Services and Parking,9051,4393,4658,153700,64826,39.3,5,227,2725,86460,3685,222,3907,CT,E,S3
10642,20000,24800,12.5,3182,13047.58,13534.3333,6,O,658,1,11,9,6,0,2,Corporation,1,0,1,0,58,Eating and Drinking Places,38515,18092,20423,99500,35381,34.4,5,1993,26875,909867,12018,1339,13357,FL,H,S2
2554,7200,8568,12.5,388.5,7280.84,6268,2,R,441,5,34,19,15,18,22,Corporation,3,0,0,0,58,Eating and Drinking Places,41913,20582,21331,147200,53582,36.4,5,1266,15802,510494,14162,1223,15385,NY,OTHER,S1
57516,117200,139468,12.5,12938.88,99518,99511.1269,1,R,625,21,24,9,9,0,2,Corporation,4,0,0,0,58,Eating and Drinking Places,15495,7788,7707,174900,52388,43.7,6,1086,11711,268423,11346,475,11821,FL,B,S4
3856,9600,11424,12.5,1037.32,7512.36,7512.36364,11,O,551,4,30,17,20,0,13,Corporation,4,0,1,0,73,Business Services,40608,19183,21425,111200,41183,46.4,5,1295,15648,427658,19428,1187,20615,FL,OTHER,S2
6923,17200,20468,12.5,2373.6,14656.72,10641.203,6,O,564,9,34,15,18,3,16,Corporation,5,0,0,0,72,Personal Services,34753,16500,18253,95500,42875,35.5,5,1384,18342,411233,12527,1504,14031,GA,B,S2
81688,147800,183272,10,28436.72,169296,138044.5,4,R,599,10,12,8,4,3,1,Corporation,9,5,0,3,57,Home Furniture and Furnishings Stores,40339,19385,20954,254400,81806,38.1,5,1219,9157,311040,12667,590,13257,NJ,B,S4
10431,16000,18800,14.5,1296,12451.64,12451.3333,3,O,648,1,24,24,19,0,0,Limited Liability Company,3,3,1,0,54,Food Stores,10812,5445,5367,208100,88671,38.7,5,426,3547,124597,3616,162,3778,NH,OTHER,S2
19435,32500,39750,12.5,5170,22108.56,22108,1,R,538,8,45,35,29,2,8,Corporation,9,0,1,0,87,Engineering and Accounting and Management Services,15683,7448,8235,203000,53761,56.8,5,607,6568,211727,9747,358,10105,FL,H,S3
3416,14800,18352,12.5,2299.92,9590.06,9590.2,10,O,489,4,13,9,2,4,0,Corporation,3,0,0,0,54,Food Stores,61842,29269,32573,155600,41566,38.1,5,1210,13857,459033,21917,1373,23290,NJ,H,S2
1248,6400,7616,12.5,883.2,4996.5,5267.55556,9,O,474,1,21,13,10,5,3,Sole Proprietorship,1,0,0,0,54,Food Stores,5610,2574,3036,67600,19651,22.5,6,18,133,2002,1282,76,1358,AL,B,S1
24837,59200,70448,7.5,6535.68,193274.4,109998,1,R,565,5,48,30,25,19,22,Limited Liability Company,12,11,2,4,58,Eating and Drinking Places,27261,13310,13951,89800,46482,32.9,6,686,11209,279979,14072,642,14714,MS,B,S4
54969,100000,119000,9,13800,119384.52,119384.333,6,O,579,2,7,7,1,0,0,Corporation,2,1,1,0,53,General Merchandise Stores,7777,3583,4194,58300,23957,35.9,5,642,16896,663125,3785,910,4695,FL,B,S4
28139,50400,59220,12.5,4762.8,45404.22,45402.2119,5,O,558,6,45,41,27,2,2,Corporation,3,6,1,5,59,Miscellaneous Retail Stores,17502,8192,9310,336900,61053,43.9,5,395,5347,159713,5569,365,5934,NY,OTHER,S4
23801,50000,58750,12.5,1000,57244,108669.2,5,R,493,3,38,29,28,6,3,Partnership,3,2,3,0,59,Miscellaneous Retail Stores,3431,1839,1592,323600,32716,45.4,5,430,1386,55924,2045,238,2283,MA,A,S4
14645,35800,45645,12.5,7491.16,23551.34,23551.3333,3,O,588,7,15,15,2,0,0,Sole Proprietorship,8,1,1,0,59,Miscellaneous Retail Stores,41637,20162,21475,125800,52025,37.9,5,1142,12538,323931,20501,385,20886,FL,B,S3
2702,6200,7688,12.5,917.6,4107.34,4107.33333,6,O,547,7,40,27,28,5,8,Corporation,5,2,3,0,80,Health Services,25292,13204,12088,95100,42497,35.5,5,739,8480,264918,7307,664,7971,FL,B,S1
4737,10000,11750,12.5,600,16264.34,70335.1667,12,O,621,7,24,4,4,2,3,Corporation,2,4,0,3,50,Wholesale Trade-Durable Goods,27276,12995,14281,164500,55252,36.5,6,1605,30894,1321940,14120,1158,15278,MN,OTHER,S2
4740,25000,29750,12.5,3450,22951.42,24854.2717,5,O,626,2,22,12,18,1,9,Sole Proprietorship,10,4,0,0,59,Miscellaneous Retail Stores,87827,40081,47746,86000,38210,33,6,606,9670,268570,24893,1179,26072,IL,B,S3
40543,88000,104720,12.5,12144,69447.78,75720.1187,12,O,591,8,35,20,20,0,4,Corporation,10,7,1,0,58,Eating and Drinking Places,29416,14548,14868,110700,52264,36.4,5,509,5546,158844,11342,549,11891,MI,B,S4
10681,21600,25704,12.5,2333.96,16999.9,17000,3,O,459,3,4,4,0,0,0,Corporation,1,0,1,0,58,Eating and Drinking Places,16201,7335,8866,1000001,69273,38,5,5275,152628,15903843,11285,3907,15192,NY,OTHER,S3
2586,6800,8432,12.5,1006.4,4402,4402,4,O,648,7,23,22,10,0,1,Sole Proprietorship,5,0,1,0,75,Auto Repair Services and Parking,30115,14369,15746,68000,35950,31.8,5,268,2451,55691,9798,346,10144,MI,H,S1
4294,7000,8225,12.5,189,20670,13490,2,R,613,11,35,28,28,0,7,Limited Liability Company,9,4,2,0,75,Auto Repair Services and Parking,58549,28256,30293,309000,52315,34.7,5,1642,38227,3019803,20462,1813,22275,CT,A,S1
10295,22800,28272,12.5,2530.8,15087.08,20728.8333,12,O,673,1,29,27,16,1,1,Limited Liability Company,2,0,1,0,56,Apparel and Accessory Stores,31063,14580,16483,94800,39250,35,6,953,12131,290801,13105,1169,14274,LA,D,S3
19602,39800,45372,12.5,2547.2,47811.62,36401,6,O,715,3,33,33,18,0,0,Limited Liability Company,5,2,2,0,57,Home Furniture and Furnishings Stores,28126,13505,14621,179500,68402,37.2,5,1102,17652,694464,9226,825,10051,NJ,B,S3
1462,5000,5875,12.5,337.5,9800.14,11205,4,R,538,2,18,2,1,15,1,Corporation,1,0,0,0,59,Miscellaneous Retail Stores,30941,14337,16604,72800,30373,46.1,5,443,4260,96024,11896,428,12324,FL,D,S1
12043,26600,31295,12.5,2159.4,23938.58,27233.5556,9,O,483,2,13,7,8,1,5,Corporation,2,0,1,0,52,Building Materials and Hardware,11250,4924,6326,576000,36671,29.3,5,1156,17444,556433,4586,1296,5882,SC,A,S3
8340,26700,33108,12.5,790.32,19856.5,18972.8,5,O,511,2,17,2,3,12,3,Limited Liability Company,2,0,0,0,56,Apparel and Accessory Stores,35584,17596,17988,90900,38162,36.3,6,1025,21250,783976,15838,1185,17023,WI,F,S3
4630,10200,12087,12.5,1397.4,7980.02,7980,5,O,577,4,16,12,9,1,3,Sole Proprietorship,4,0,0,0,58,Eating and Drinking Places,4378,1885,2493,123000,53869,35.1,5,118,1682,43974,1558,59,1617,KY,H,S2
76378,154400,178332,7.5,4045.28,142768,259780,3,R,680,14,32,31,20,0,1,Corporation,13,5,7,1,76,Miscellaneous Repair Services,37258,18212,19046,218600,54897,37.7,5,1882,35339,1647736,15722,2634,18356,MA,D,S4
10482,33000,40425,12.5,6699,25886.02,25886,3,O,491,6,18,6,10,8,4,Corporation,2,0,1,0,58,Eating and Drinking Places,28083,12959,15124,73100,27446,38.2,5,354,5807,208736,11782,472,12254,FL,H,S3
10302,23200,28768,12.5,3605.28,15054.86,21790.4444,9,O,491,4,36,26,22,8,2,Corporation,4,12,4,5,59,Miscellaneous Retail Stores,24555,11947,12608,92400,39442,31.9,6,987,17401,610582,11931,845,12776,AR,H,S3
2574,6400,7520,12.5,172.8,6356.24,6356,1,R,574,23,29,16,15,6,7,Corporation,14,0,4,0,41,Local/Suburban Transit and Highway Passenger,59235,28211,31024,137200,53648,38.6,5,1016,26081,888153,12266,665,12931,PA,OTHER,S1
16864,33800,39715,12.5,1825.2,39020,35841.6,5,R,625,7,24,15,14,0,9,Corporation,9,0,1,0,58,Eating and Drinking Places,36568,18351,18217,63300,32796,38.7,6,894,17379,400572,13415,1064,14479,IL,OTHER,S3
70604,100400,118974,7.5,13067.06,142351.42,163169.189,1,O,733,10,15,2,2,0,0,Corporation,12,4,4,1,57,Home Furniture and Furnishings Stores,11636,5686,5950,286100,37234,51.1,5,1465,16490,616001,7657,1517,9174,FL,H,S4
3746,8000,9600,12.5,480,7296,7296.1329,4,O,486,11,10,3,3,4,4,Corporation,8,1,0,1,79,Amusement and Recreational Services,76015,39554,36461,287300,38487,30,6,2057,31736,1033711,28431,2924,31355,IL,A,S1
5516,20000,24500,12.5,1200,12955.6,12955.6667,6,O,532,2,19,8,9,6,5,Sole Proprietorship,2,0,0,0,58,Eating and Drinking Places,11772,5634,6138,97600,46885,37.3,5,216,3927,78149,3721,242,3963,NY,C,S2
