Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
19778,33900,40510.5,12.5,2034,32702.12,41060.7342,3,O,625,3,33,17,17,0,1,Corporation,4,3,3,3,58,Eating and Drinking Places,20025,9628,10397,290700,81180,42.9,6,1882,48245,2259453,8464,1550,10014,MO,A,S3
5262,17700,20620.5,12.5,1412.46,15900.14,17601.2,5,O,481,2.1,45,33,34,4,8,Corporation,1,0,0,0,59,Miscellaneous Retail Stores,34359,16774,17585,146700,52327,37.9,5,1184,11536,504683,12172,641,12813,FL,A,S2
18043,30000,35700,12.5,4347,23689,25067.4286,7,O,617,11,25,14,12,4,7,Corporation,12,4,0,3,54,Food Stores,6398,3193,3205,232300,38523,35.8,5,1056,24457,2853106,3986,1241,5227,CT,H,S3
128256,200000,238000,7,21610.8,282355.44,282356,3,O,665,4,30,27,12,0,3,Corporation,4,1,0,0,58,Eating and Drinking Places,42068,20441,21627,152800,50807,36.1,5,973,18271,582746,14625,800,15425,MA,OTHER,S4
6859,15600,19344,12.5,2308.8,10008.74,10008.975,4,O,630,13,27,26,12,0,1,Sole Proprietorship,1,0,0,0,99,Other,45543,21989,23554,100100,54222,35.9,5,1305,19147,469909,17178,1160,18338,GA,H,S2
10958,25400,31496,12.5,3759.2,16706.7,18297.4286,7,O,593,8,23,14,12,4,5,Limited Liability Company,6,4,1,1,53,General Merchandise Stores,30820,14650,16170,135300,54114,36.4,5,786,16512,541670,10960,853,11813,NJ,OTHER,S3
14942,37400,44506,12.5,4128.96,68674.42,39642,1,R,644,23,13,13,6,1,3,Corporation,8,3,3,0,58,Eating and Drinking Places,31822,14835,16987,91600,38285,36,5,853,16688,605032,12836,724,13560,VA,B,S3
54037,111000,132090,10,15318,187261.68,187250.752,12,O,567,15,58,42,38,5,11,Corporation,30,5,14,0,53,General Merchandise Stores,26443,13408,13035,136300,47917,35.1,5,728,7567,200925,10151,656,10807,MI,H,S4
8885,18200,22295,12.5,3694.6,14445.7,18835.2,10,O,541,7,18,12,7,1,5,Limited Liability Company,6,2,0,2,53,General Merchandise Stores,21293,10678,10615,108900,36335,34.8,5,715,7357,189061,8123,621,8744,FL,H,S2
5922,15400,18326,12.5,425.04,65072,46304,2,R,631,44,49,49,30,0,0,Sole Proprietorship,0,5,1,0,58,Eating and Drinking Places,10051,4817,5234,73600,29140,38.9,5,332,4925,155918,3920,299,4219,ME,F,S2
